category,feature,description,phase,engine,platforms,priority
Organize,Merge PDF,"G02 combines 2–128 PDFs in exact order as a verified page-only result; page ranges, images, bookmarks and outline preservation remain later work",1,qpdf,"Desktop, Web",Must
Organize,Split by ranges,Create files from explicit page ranges,1,qpdf,"Desktop, Web",Must
Organize,Split every N pages,Split at a fixed page interval,1,qpdf,"Desktop, Web",Must
Organize,Split by bookmarks,Use document outline levels as boundaries,2,qpdf,"Desktop, Web",Should
Organize,Split by target size,Estimate boundaries to produce size-bounded parts,3,qpdf + estimator,"Desktop, Web",Could
Organize,Extract pages,"Export selected pages as one PDF, individual PDFs, or ZIP",1,qpdf,"Desktop, Web",Must
Organize,Remove pages,Delete thumbnail/range selections with undo before export,1,qpdf,"Desktop, Web",Must
Organize,Reorder pages,"Drag, reverse, odd/even regroup, duplicate, and move pages",1,qpdf,"Desktop, Web",Must
Organize,Rotate pages,Rotate selected/odd/even/all pages 90/180/270 degrees,1,qpdf,"Desktop, Web",Must
Organize,Insert blank pages,Insert configurable blank page sizes and orientation,2,pdf-lib/qpdf,"Desktop, Web",Should
Organize,Interleave documents,Alternate pages from two or more files,2,qpdf,"Desktop, Web",Should
Organize,N-up and booklet,"Impose pages for 2-up, 4-up, and booklet printing",5,pdfcpu/print engine,"Desktop, Web",Could
Organize,Scan to PDF,"Camera/scanner import, crop, dewarp, cleanup, reorder",6,OpenCV + native camera,"Desktop, Web",Should
Optimize,Compress - lossless,Remove redundant structures and optimize streams without image loss,1,qpdf,"Desktop, Web",Must
Optimize,Compress - balanced,Downsample/re-encode images with readable defaults,2,libvips + qpdf,"Desktop, Web",Must
Optimize,Compress - strong,Aggressive image and font optimization with preview comparison,2,libvips + qpdf,"Desktop, Web",Should
Optimize,Image-aware compression,"Per-image DPI, JPEG quality, monochrome and transparency controls",2,libvips,"Desktop, Web",Should
Optimize,Linearize PDF,Fast-web-view optimization,1,qpdf,"Desktop, Web",Should
Optimize,Repair PDF,Rebuild xref/object streams and salvage readable pages,2,qpdf + fallback parser,"Desktop, Web",Must
Optimize,Remove unused objects,Garbage collect orphaned objects/resources,2,qpdf,"Desktop, Web",Should
Optimize,PDF/A conversion,Create archival variants and validate conformance,5,LibreOffice/veraPDF,"Desktop, Web",Should
Optimize,Optimize scans,"Deskew, despeckle, background cleanup, bilevel optimization",3,OCRmyPDF + unpaper,"Desktop, Web",Should
Convert to PDF,JPG/PNG/WebP to PDF,"Convert raster images with page size, margins, orientation, quality",1,libvips + PDF writer,"Desktop, Web",Must
Convert to PDF,TIFF/BMP/HEIC to PDF,Convert additional image formats and multipage TIFF,2,libvips/ImageMagick,"Desktop, Web",Should
Convert to PDF,Word to PDF,DOC/DOCX/ODT conversion,2,LibreOffice,"Desktop, Web",Must
Convert to PDF,Excel to PDF,XLS/XLSX/ODS conversion with sheet/range options,2,LibreOffice,"Desktop, Web",Must
Convert to PDF,PowerPoint to PDF,PPT/PPTX/ODP conversion,2,LibreOffice,"Desktop, Web",Must
Convert to PDF,Markdown to PDF,Render Markdown with print themes and syntax highlighting,2,Chromium/HTML pipeline,"Desktop, Web",Should
Convert to PDF,HTML to PDF,Render local HTML or approved URLs with page controls,2,Chromium/Gotenberg,"Desktop, Web",Should
Convert to PDF,Text to PDF,Convert TXT/CSV/JSON/XML to formatted PDF,2,native renderer,"Desktop, Web",Should
Convert to PDF,Email to PDF,Convert EML/MSG with headers and attachments index,5,Docling/mail parser,"Desktop, Web",Could
Convert to PDF,SVG to PDF,Preserve vector content when possible,3,resvg/Cairo,"Desktop, Web",Should
Convert to PDF,Archive package to PDF,Combine mixed supported inputs into an ordered PDF binder,4,workflow engine,"Desktop, Web",Could
Convert from PDF,PDF to JPG/PNG/WebP,Render selected pages at configurable DPI,1,PDFium/MuPDF/libvips,"Desktop, Web",Must
Convert from PDF,PDF to TIFF,Export single/multipage TIFF,2,PDFium + libvips,"Desktop, Web",Should
Convert from PDF,PDF to text,Reading-order text extraction with OCR fallback,1,PDF.js/Docling/Tesseract,"Desktop, Web",Must
Convert from PDF,PDF to Markdown,"Structured headings, lists, tables, images and links",4,Docling/Granite Docling,"Desktop, Web",Should
Convert from PDF,PDF to Word,Layout-aware DOCX with OCR fallback and confidence warnings,5,Docling + DOCX writer,"Desktop, Web",Should
Convert from PDF,PDF to Excel,Detect tables; export CSV/XLSX with review step,5,Docling/table engine,"Desktop, Web",Should
Convert from PDF,PDF to PowerPoint,Page-as-slide and editable reconstruction modes,6,renderer + PPTX writer,"Desktop, Web",Could
Convert from PDF,PDF to HTML,Structured HTML with page/image assets,4,Docling,"Desktop, Web",Could
Convert from PDF,Extract images,Export embedded images without unnecessary re-rendering,2,qpdf/PDF parser,"Desktop, Web",Should
Convert from PDF,Extract attachments,List and export embedded files safely,2,qpdf/PDF parser,"Desktop, Web",Should
Convert from PDF,Extract fonts report,Inventory embedded fonts without redistributing font binaries,5,PDF parser,"Desktop, Web",Could
Convert from PDF,Extract annotations,Export comments/highlights to JSON/CSV/FDF-like formats,4,PDF parser,"Desktop, Web",Could
Convert from PDF,PDF to searchable archive,OCR + PDF/A + metadata workflow,5,workflow engine,"Desktop, Web",Should
Edit,Add text,Positioned text overlays with font embedding and alignment,3,pdf-lib/PDF editor,"Desktop, Web",Must
